jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Křivková, Elena",,,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Aujezká, Anna",Brno,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Kamenová, Sabina",Úvaly,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Pitlachová, Klára",Brno-střed,www.klarapitlachova.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Bernátková, Andrea",Praha,neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",On-line,"Systémové, systemické a komunikační pojetí"
"Mikušková, Ivana",Uherské Hradiště,www.dialogs.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Systémové, systemické a komunikační pojetí"
"Zikmundová, Romana",Praha 9,www.resetcentrum.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Farářová, Adéla","Palác ADRIA Jungmannova 36/31, Praha 1, Vstup A, 4. patro",www.adelafararova.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Martínková, Jana",Ostrava,www.navlnezmeny.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno","On-line, Osobně",Psychoterapie zaměřená na tělo
"Vlčková, Tereza",Brno,https://www.terapiepodkravihorou.cz/tereza/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Novotná, Monika",Praha 1,www.terapie-novotna.cz,Přijímám nové klienty,Osobně,,Integrativní a eklektické pojetí
"Horová, Lenka",Praha 5,www.lenkahorova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Kognitivně-behaviorální terapie
"Kneřová, Dana",Praha 6,www.danaknerova.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Psychoterapie zaměřená na tělo
"Větrovcová, Markéta",Třebíč,www.terapievetrovcova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+",On-line,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Gili, Kateřina",Beroun,www.katerinagili.com,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Kohútová, Tereza",Plzeň,,Přijímám nové klienty,Dospělí 18-69,Osobně,Integrativní a eklektické pojetí
"Šmahaj, Jan",Olomouc,https://www.psychologoveolomouc.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Kognitivně-behaviorální terapie
"Říčařová, Eva",Praha 1,https://www.danielbaumruk.cz/profil/eva-ricarova/,Přijímám nové klienty,"Dospělí 18-69, neuvedeno",Osobně,Jiný
"Semanová, Lucia",Praha 9,neuvedeno,Přijímám nové klienty,Dospělí 18-69,On-line,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Matoušová, Lenka",Praha 2,psychoterapie-matousova.cz,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Zemanová, Blanka",Mladá Boleslav,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospívající (do 17 let)",Osobně,Integrativní a eklektické pojetí
"Straková, Alena",České Budějovice,https://www.cesta-vnitrni-krajinou.cz/,Přijímám nové klienty,Osobně,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hudská, Anna",Turnov,cktt.cz,Přijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Malesaková, Věra",Most,https://www.malesakova.cz/,Info o dostupnosti na vyžádání,Osobně,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Dušinská, Katarína",Bratislava,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Psychoterapie zaměřená na tělo
"Litošová, Dagmar",Dvůr Králové nad Labem,www.litosova-psychoterapie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Hájková Klíčová, Kateřina",Brno,https://www.klicovaterapie.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Jiný
"Maršálková, Markéta",Brno,https://www.terapeum.cz/,Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Trembach, Olena",Praha 1,https://www.instagram.com/lena.trem?igsh=bjczOTQ3cGVrYW0%3D&utm_source=qr,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Marešová, Irena",Praha 5 - Smíchov,www.irenamaresova.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Madler, Veronika",Praha 6,,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Fontán, Martin",Praha 4,https://centrumpodoli.cz/terapeuti/martin-fontan/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Marvánová Vargová, Branislava",Praha 2,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Furtan, Jaroslaw",Broumov,"www.jaroslawfurtan.com, www.agapas.eu",Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Zatloukal, Leoš",Olomouc,www.dalet.cz,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Havelková, Alžběta",Praha 1,www.terapiehavelkova.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Novotná, Lucie",Praha 5,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lankocz Carbolová, Tereza",Frenštát pod Radhoštěm,https://www.centrum-kalokagathia.cz/psychoterapie/,Přijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"Švíglerová, Jitka",Plzeň,https://ladilna.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Moravcová, Monika",Teplice,https://www.terapiemoravcova.cz/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16803080058452903460,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Jašová, Klára",Řevnice,www.klarajasova-terapie.cz,Přijímám nové klienty,neuvedeno,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Paclíková, Kateřina",Zábřeh,http://www.spirala-zabreh.cz/Paclikova.html,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospívající (do 17 let)",Osobně,Integrativní a eklektické pojetí
"Hrkalová, Markéta",Praha 4,Www.marketahrkalova.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Huječková, Kristýna",neuvedeno,,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kučerová, Jana Marie",Praha 2,www.podkrovy.cz www.janamariekucerova.cz,Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Arthoferová, Alžběta",Praha 4 Krč,,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lichková, Adéla",Praha,http://www.lichkova.cz/,Přijímám nové klienty,"On-line, Osobně",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Brožková, Lenka",Praha 1,http://lenka.brozek.org/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Grossmann, Valérie",Horní Tošanovice,www.psychoterapie-fm.webnode.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kutilová Kšírová, Daniela",Kladno,www.danielakk.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Hazuchová, Ingrid",Hostim,neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Toth, Ondřej",Olomouc,https://ondratoth.cz/,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Chudobová, Andrea",Praha 5,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kuta, Igor",Praha 6,https://igorkuta.cz/,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Gőth, Petr",Kutná Hora,www.petrgoth.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Candia Muňoz, Alžběta",Praha 6 - Bubeneč,www.terapieacm.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kocnárová, Michaela","Praha 8, Karlín",www.kocnarova.com,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Psychoterapie zaměřená na tělo
"Pijáček, Petr",Praha,https://centrumhladina.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kolářová, Dana",Praha 8 - Karlín,www.terapiedotekem.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,Psychoterapie zaměřená na tělo
"Janíková, Helena",Brno,www.helenajanikova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Vencálková, Kateřina",Litomyšl,www.cestypsyche.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Maršálek, Jan",Praha 2,https://janmarsalek.cz,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,Integrativní a eklektické pojetí
"Soukalová, Veronika",Znojmo,www.veronikasoukalova.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Systémové, systemické a komunikační pojetí"
"Solnařová, Jana",Most,www.entis.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Šulc, Jakub",Mladá Boleslav,www.klidvdusi.cz,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Švecová, Martina",Náchod,www.psycholog-nachodsko.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Wagenknecht, Martin",,,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Mikelová Vrabcová, Dana",Praha 2,http://centrumkomunikace.cz/,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Nápravová, Zuzana",Dolní Břežany,www.zuzananapravova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Vejrych, Tomáš",Praha 1,,Nepřijímám nové klienty,Osobně,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Frintová, Martina",Praha,www.seberozvijeni.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Sonntagová, Jana","Praha 10, Vinohrady",www.janasonntagova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Králíček, Lukáš",Praha 2,www.da-psychoterapie.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hamanaka, Klára",Kluky u Písku,https://hamanaka-psycholog.webnode.cz/,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Jehličková, Lenka",Liberec,www.lenkajehlickova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Majerová, Petra",České Budějovice,www.terapeut-psycholog.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Vejrostová, Gabriela",Brno,www.terapie-vejrostova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Smetánková, Barbora",Říčany u Prahy,"http://www.modredvere.cz/cz/profily-zamestnancu, http://www.terapievparu.cz, http://www.terapievinohradska.cz",Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Geaney, Kathleen",Praha 6,www.terapie-geaney.cz,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Tesárková, Tea",Praha 2,www.teaterapie.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kubátová, Martina",Havlíčkův Brod,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Hájková, Magda",Brno,https://www.magdahajkova.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Růžičková, Tereza",Třebíč,www.terezaruzi.com,Přijímám nové klienty,,,Kognitivně-behaviorální terapie
"Täubnerová, Klára",Praha 2,www.da-psychoterapie.cz,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Moudrá, Tereza",Kladno,Www.Moudraterapie.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Holasová, Jiřina",Svitavy,neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Dvořáková, Kristýna",Slavičín,,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Doležalová, Petra",Dolní Břežany,https://www.petradolezalova.eu/,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Sedmihradská, Daniela",Praha 1,www.sedmihradska.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Rumreichová, Martina",Boskovice,https://poradnaboskovice.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Ambrosová, Eva",Úvaly Poliklinika Pražská 1144,www.evaambrosova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kratochvílová, Marie",Praha 2,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Kašparová, Marcela",Hradec Králové,www.marcelakasparova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Gavlas, René",Frýdek-Místek,www.gavlasovi.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Šulcová, Kateřina",Praha 8,www.psychologovepraha.cz,Přijímám nové klienty,Dospělí 18-69,On-line,Integrativní a eklektické pojetí
"Smolová, Alice",Praha,https://alicesmolova.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Křepelová, Andrea",Letovice,www.psychoterapie-letovice.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Janáková, Michaela",Brno,https://psychoterapieonline.net/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Štochlová, Magdaléna",Praha 9,,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Pulkkinen Švadlenková, Lada",Praha 4 - Nusle,www.psychoterapielada.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Rašková, Věra",Praha 2,www.personalia.cz,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Krizkova, Katerina",Praha 6,https://ineopsychoterapie.cz/,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Korda Jedzokova, Katarzyna",Turnov,www.mindfullife.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Kráčmarová Turáková, Zuzana",Praha 6-Bubeneč,www.zuzanakracmarova.cz,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Wiedermanová, Eva",Ostrava,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Fodor, Andrea",Plzeň,https://psychoterapeutickecentrumplzen.cz/,Info o dostupnosti na vyžádání,neuvedeno,"On-line, Osobně, Telefonicky",Kognitivně-behaviorální terapie
"Dubovská, Eva",Praha 3,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pantlík, Štěpán",Kyjov,https://krokkyjov.cz/tk/kontakty/,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Horáková, Jana",Brno,Www.horakova-psycholog.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Štěpničková, Pavla",Praha 1,https://www.osobniterapeut.cz,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Ulman, Přemysl",Slavičín,,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Kistaeva, Olena",Pšerov,,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Veselská, Monika",Praha 4,www.darozhovor.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Bechyňová, Bernadeta",Praha 5,"www.bechynova-psycholog.cz, www.biosynteza.cz",Info o dostupnosti na vyžádání,Osobně,,Integrativní a eklektické pojetí
"Navrátilová, Kateřina",Brno-Královo Pole,detsky-psycholog-brno.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospívající (do 17 let)",Osobně,Integrativní a eklektické pojetí
"Teichmanová, Irena",Praha,www.irenateichmanova.cz,Přijímám nové klienty,"On-line, Osobně",,Jiný
"Slobodníková, Alexandra",Praha,neuvedeno,Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Židlická, Anna",Brno,www.port-brno.com,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Zálešáková, Monika","Hodonín, Centrum pro rodinu, Štefánikova 15",www.spoluvterapii.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno","Možnost terapie venku, On-line, Osobně, Telefonicky",Jiný
"Michalenková, Halka",Jablonec nad Nisou,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Škvareková, Slávka",Praha 2,www.slavkaskvarekova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Blažková, Martina",Praha 1,www.psychologieblazkova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Vetchá, Irena",Praha 3,https://psychoterapievetcha.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Thiele, Kamila",Hradec Králové,,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Papíková, Lucie",Praha,Www.terapiepapikova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Rolexová, Soňa",Praha,soroterapie.cz,Přijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
